"","source","target","Edge Weight"
"689","yikesks","WeRWisconsin",1
"690","yikesks","AstroSHayden",1
"691","yikesks","TomAdler",1
"692","yikesks","Luminaria98",1
"693","yikesks","txmattie",1
"694","yikesks","ClarksonChuck",1
"695","yikesks","PeggyStuart",1
"696","yikesks","AmericanWoe1",1
"697","yikesks","2NewEarth",1
"698","yikesks","Muxywithmoxie",1
"699","yikesks","gnuman1979",1
"700","yikesks","GomerWHoward",1
"701","unkybunky","yikesks",1
"702","PeggyStuart","yikesks",1
"703","AmericanWoe1","yikesks",1
"704","MadPolitics","MaureenAlley",1
"705","MaureenAlley","MadPolitics",1
"706","MaureenAlley","news3jessica",1
"707","MaureenAlley","MacIverWisc",1
"708","news3jessica","MaureenAlley",1
"709","WeRWisconsin","panicatack",1
"710","polymath22","panicatack",1
"711","panicatack","news3jessica",1
"712","panicatack","Salon",1
"713","news3jessica","panicatack",1
"714","nthq","TODAYSTMJ4",1
"715","nthq","DefendWisconsin",1
"716","nthq","wisaflcio",1
"717","nthq","news3jessica",1
"718","nthq","banditelli",1
"719","nthq","AndrewKroll",1
"720","nthq","jimwitkins",1
"721","nthq","legaleagle",1
"722","nthq","gjzielinski",1
"723","nthq","bluecheddar1",1
"724","nthq","Muxywithmoxie",1
"725","nthq","MahlonMitchell",1
"726","nthq","UnitedWisconsin",1
"727","nthq","DefeatVos",1
